Round Number,Date,Location,Team_1,Team_2
1,1/2/2001,Taupo,New Zealand,Zimbabwe
1,1/2/2001,Taupo,New Zealand,Zimbabwe
1,1/4/2001,Wellington,New Zealand,Zimbabwe
1,1/4/2001,Wellington,New Zealand,Zimbabwe
1,1/7/2001,Auckland,New Zealand,Zimbabwe
1,1/7/2001,Auckland,New Zealand,Zimbabwe
1,1/9/2001,Paarl,South Africa,Sri Lanka
1,1/9/2001,Paarl,South Africa,Sri Lanka
1,1/11/2001,Cape Town,South Africa,Sri Lanka
1,1/11/2001,Cape Town,South Africa,Sri Lanka
1,1/11/2001,Melbourne,Australia,West Indies
1,1/11/2001,Melbourne,Australia,West Indies
1,1/13/2001,Brisbane,West Indies,Zimbabwe
1,1/13/2001,Brisbane,West Indies,Zimbabwe
1,1/14/2001,Bloemfontein,South Africa,Sri Lanka
1,1/14/2001,Bloemfontein,South Africa,Sri Lanka
1,1/14/2001,Brisbane,Australia,West Indies
1,1/14/2001,Brisbane,Australia,West Indies
1,1/17/2001,Johannesburg,South Africa,Sri Lanka
1,1/17/2001,Johannesburg,South Africa,Sri Lanka
1,1/17/2001,Sydney,Australia,West Indies
1,1/17/2001,Sydney,Australia,West Indies
1,1/21/2001,Melbourne,Australia,Zimbabwe
1,1/21/2001,Melbourne,Australia,Zimbabwe
1,1/23/2001,Sydney,West Indies,Zimbabwe
1,1/23/2001,Sydney,West Indies,Zimbabwe
1,1/25/2001,Adelaide,West Indies,Zimbabwe
1,1/25/2001,Adelaide,West Indies,Zimbabwe
1,1/26/2001,Adelaide,Australia,West Indies
1,1/26/2001,Adelaide,Australia,West Indies
1,1/28/2001,Sydney,Australia,Zimbabwe
1,1/28/2001,Sydney,Australia,Zimbabwe
1,1/30/2001,Hobart,Australia,Zimbabwe
1,1/30/2001,Hobart,Australia,Zimbabwe
1,1/31/2001,Napier,New Zealand,Sri Lanka
1,1/31/2001,Napier,New Zealand,Sri Lanka
1,2/2/2001,Perth,West Indies,Zimbabwe
1,2/2/2001,Perth,West Indies,Zimbabwe
1,2/3/2001,Wellington,New Zealand,Sri Lanka
1,2/3/2001,Wellington,New Zealand,Sri Lanka
1,2/4/2001,Perth,Australia,Zimbabwe
1,2/4/2001,Perth,Australia,Zimbabwe
1,2/6/2001,Auckland,New Zealand,Sri Lanka
1,2/6/2001,Auckland,New Zealand,Sri Lanka
1,2/7/2001,Sydney,Australia,West Indies
1,2/7/2001,Sydney,Australia,West Indies
1,2/8/2001,Hamilton,New Zealand,Sri Lanka
1,2/8/2001,Hamilton,New Zealand,Sri Lanka
1,2/9/2001,Melbourne,Australia,West Indies
1,2/9/2001,Melbourne,Australia,West Indies
1,2/11/2001,Christchurch,New Zealand,Sri Lanka
1,2/11/2001,Christchurch,New Zealand,Sri Lanka
1,2/17/2001,Auckland,New Zealand,Pakistan
1,2/17/2001,Auckland,New Zealand,Pakistan
1,2/20/2001,Napier,New Zealand,Pakistan
1,2/20/2001,Napier,New Zealand,Pakistan
1,2/22/2001,Wellington,New Zealand,Pakistan
1,2/22/2001,Wellington,New Zealand,Pakistan
1,2/25/2001,Christchurch,New Zealand,Pakistan
1,2/25/2001,Christchurch,New Zealand,Pakistan
1,2/28/2001,Dunedin,New Zealand,Pakistan
1,2/28/2001,Dunedin,New Zealand,Pakistan
1,3/23/2001,Dambulla,Sri Lanka,England
1,3/23/2001,Dambulla,Sri Lanka,England
1,3/25/2001,Colombo (RPS),Sri Lanka,England
1,3/25/2001,Colombo (RPS),Sri Lanka,England
1,3/25/2001,Bengaluru,India,Australia
1,3/25/2001,Bengaluru,India,Australia
1,3/27/2001,Colombo (SSC),Sri Lanka,England
1,3/27/2001,Colombo (SSC),Sri Lanka,England
1,3/28/2001,Pune,India,Australia
1,3/28/2001,Pune,India,Australia
1,3/31/2001,Indore,India,Australia
1,3/31/2001,Indore,India,Australia
1,4/3/2001,Visakhapatnam,India,Australia
1,4/3/2001,Visakhapatnam,India,Australia
1,4/6/2001,Margao,India,Australia
1,4/6/2001,Margao,India,Australia
1,4/7/2001,Harare,Zimbabwe,Bangladesh
1,4/7/2001,Harare,Zimbabwe,Bangladesh
1,4/8/2001,Harare,Zimbabwe,Bangladesh
1,4/8/2001,Harare,Zimbabwe,Bangladesh
1,4/8/2001,Sharjah,Pakistan,Sri Lanka
1,4/8/2001,Sharjah,Pakistan,Sri Lanka
1,4/10/2001,Sharjah,New Zealand,Sri Lanka
1,4/10/2001,Sharjah,New Zealand,Sri Lanka
1,4/11/2001,Bulawayo,Zimbabwe,Bangladesh
1,4/11/2001,Bulawayo,Zimbabwe,Bangladesh
1,4/12/2001,Sharjah,New Zealand,Pakistan
1,4/12/2001,Sharjah,New Zealand,Pakistan
1,4/13/2001,Sharjah,Pakistan,Sri Lanka
1,4/13/2001,Sharjah,Pakistan,Sri Lanka
1,4/15/2001,Sharjah,New Zealand,Pakistan
1,4/15/2001,Sharjah,New Zealand,Pakistan
1,4/17/2001,Sharjah,New Zealand,Sri Lanka
1,4/17/2001,Sharjah,New Zealand,Sri Lanka
1,4/20/2001,Sharjah,Pakistan,Sri Lanka
1,4/20/2001,Sharjah,Pakistan,Sri Lanka
1,4/28/2001,Kingston,West Indies,South Africa
1,4/28/2001,Kingston,West Indies,South Africa
1,5/2/2001,St John's,West Indies,South Africa
1,5/2/2001,St John's,West Indies,South Africa
1,5/5/2001,St George's,West Indies,South Africa
1,5/5/2001,St George's,West Indies,South Africa
1,5/6/2001,St George's,West Indies,South Africa
1,5/6/2001,St George's,West Indies,South Africa
1,5/9/2001,Bridgetown,West Indies,South Africa
1,5/9/2001,Bridgetown,West Indies,South Africa
1,5/12/2001,Port of Spain,West Indies,South Africa
1,5/12/2001,Port of Spain,West Indies,South Africa
1,5/16/2001,Kingstown,West Indies,South Africa
1,5/16/2001,Kingstown,West Indies,South Africa
1,6/7/2001,Birmingham,England,Pakistan
1,6/7/2001,Birmingham,England,Pakistan
1,6/9/2001,Cardiff,Australia,Pakistan
1,6/9/2001,Cardiff,Australia,Pakistan
1,6/10/2001,Bristol,England,Australia
1,6/10/2001,Bristol,England,Australia
1,6/12/2001,Lord's,England,Pakistan
1,6/12/2001,Lord's,England,Pakistan
1,6/14/2001,Manchester,England,Australia
1,6/14/2001,Manchester,England,Australia
1,6/16/2001,Chester-le-Street,Australia,Pakistan
1,6/16/2001,Chester-le-Street,Australia,Pakistan
1,6/17/2001,Leeds,England,Pakistan
1,6/17/2001,Leeds,England,Pakistan
1,6/19/2001,Nottingham,Australia,Pakistan
1,6/19/2001,Nottingham,Australia,Pakistan
1,6/21/2001,The Oval,England,Australia
1,6/21/2001,The Oval,England,Australia
1,6/23/2001,Harare,Zimbabwe,West Indies
1,6/23/2001,Harare,Zimbabwe,West Indies
1,6/23/2001,Lord's,Australia,Pakistan
1,6/23/2001,Lord's,Australia,Pakistan
1,6/24/2001,Harare,Zimbabwe,India
1,6/24/2001,Harare,Zimbabwe,India
1,6/27/2001,Bulawayo,Zimbabwe,India
1,6/27/2001,Bulawayo,Zimbabwe,India
1,6/30/2001,Bulawayo,India,West Indies
1,6/30/2001,Bulawayo,India,West Indies
1,7/1/2001,Bulawayo,Zimbabwe,West Indies
1,7/1/2001,Bulawayo,Zimbabwe,West Indies
1,7/4/2001,Harare,India,West Indies
1,7/4/2001,Harare,India,West Indies
1,7/7/2001,Harare,India,West Indies
1,7/7/2001,Harare,India,West Indies
1,7/18/2001,Colombo (RPS),Sri Lanka,New Zealand
1,7/18/2001,Colombo (RPS),Sri Lanka,New Zealand
1,7/20/2001,Colombo (RPS),India,New Zealand
1,7/20/2001,Colombo (RPS),India,New Zealand
1,7/22/2001,Colombo (RPS),Sri Lanka,India
1,7/22/2001,Colombo (RPS),Sri Lanka,India
1,7/25/2001,Colombo (RPS),Sri Lanka,New Zealand
1,7/25/2001,Colombo (RPS),Sri Lanka,New Zealand
1,7/26/2001,Colombo (RPS),India,New Zealand
1,7/26/2001,Colombo (RPS),India,New Zealand
1,7/28/2001,Colombo (RPS),Sri Lanka,India
1,7/28/2001,Colombo (RPS),Sri Lanka,India
1,7/31/2001,Colombo (SSC),Sri Lanka,New Zealand
1,7/31/2001,Colombo (SSC),Sri Lanka,New Zealand
1,8/1/2001,Colombo (SSC),Sri Lanka,India
1,8/1/2001,Colombo (SSC),Sri Lanka,India
1,8/2/2001,Colombo (SSC),India,New Zealand
1,8/2/2001,Colombo (SSC),India,New Zealand
1,8/5/2001,Colombo (RPS),Sri Lanka,India
1,8/5/2001,Colombo (RPS),Sri Lanka,India
1,8/15/2001,Nairobi,Kenya,West Indies
1,8/15/2001,Nairobi,Kenya,West Indies
1,8/18/2001,Nairobi (Gym),Kenya,West Indies
1,8/18/2001,Nairobi (Gym),Kenya,West Indies
1,8/19/2001,Nairobi (Gym),Kenya,West Indies
1,8/19/2001,Nairobi (Gym),Kenya,West Indies
1,9/23/2001,Bulawayo,Zimbabwe,South Africa
1,9/23/2001,Bulawayo,Zimbabwe,South Africa
1,9/29/2001,Harare,Zimbabwe,South Africa
1,9/29/2001,Harare,Zimbabwe,South Africa
1,9/30/2001,Harare,Zimbabwe,South Africa
1,9/30/2001,Harare,Zimbabwe,South Africa
1,10/3/2001,Harare,Zimbabwe,England
1,10/3/2001,Harare,Zimbabwe,England
1,10/5/2001,Johannesburg,South Africa,India
1,10/5/2001,Johannesburg,South Africa,India
1,10/6/2001,Harare,Zimbabwe,England
1,10/6/2001,Harare,Zimbabwe,England
1,10/7/2001,Harare,Zimbabwe,England
1,10/7/2001,Harare,Zimbabwe,England
1,10/7/2001,Benoni,South Africa,Kenya
1,10/7/2001,Benoni,South Africa,Kenya
1,10/10/2001,Bulawayo,Zimbabwe,England
1,10/10/2001,Bulawayo,Zimbabwe,England
1,10/10/2001,Centurion,South Africa,India
1,10/10/2001,Centurion,South Africa,India
1,10/12/2001,Bloemfontein,India,Kenya
1,10/12/2001,Bloemfontein,India,Kenya
1,10/13/2001,Bulawayo,Zimbabwe,England
1,10/13/2001,Bulawayo,Zimbabwe,England
1,10/14/2001,Kimberley,South Africa,Kenya
1,10/14/2001,Kimberley,South Africa,Kenya
1,10/17/2001,Port Elizabeth,India,Kenya
1,10/17/2001,Port Elizabeth,India,Kenya
1,10/19/2001,East London,South Africa,India
1,10/19/2001,East London,South Africa,India
1,10/22/2001,Cape Town,South Africa,Kenya
1,10/22/2001,Cape Town,South Africa,Kenya
1,10/24/2001,Paarl,India,Kenya
1,10/24/2001,Paarl,India,Kenya
1,10/26/2001,Sharjah,Sri Lanka,Zimbabwe
1,10/26/2001,Sharjah,Sri Lanka,Zimbabwe
1,10/26/2001,Durban,South Africa,India
1,10/26/2001,Durban,South Africa,India
1,10/27/2001,Sharjah,Pakistan,Sri Lanka
1,10/27/2001,Sharjah,Pakistan,Sri Lanka
1,10/28/2001,Sharjah,Pakistan,Zimbabwe
1,10/28/2001,Sharjah,Pakistan,Zimbabwe
1,10/30/2001,Sharjah,Sri Lanka,Zimbabwe
1,10/30/2001,Sharjah,Sri Lanka,Zimbabwe
1,10/31/2001,Sharjah,Pakistan,Zimbabwe
1,10/31/2001,Sharjah,Pakistan,Zimbabwe
1,11/2/2001,Sharjah,Pakistan,Sri Lanka
1,11/2/2001,Sharjah,Pakistan,Sri Lanka
1,11/4/2001,Sharjah,Pakistan,Sri Lanka
1,11/4/2001,Sharjah,Pakistan,Sri Lanka
1,11/23/2001,Chattogram,Bangladesh,Zimbabwe
1,11/23/2001,Chattogram,Bangladesh,Zimbabwe
1,11/25/2001,Dhaka,Bangladesh,Zimbabwe
1,11/25/2001,Dhaka,Bangladesh,Zimbabwe
1,11/26/2001,Dhaka,Bangladesh,Zimbabwe
1,11/26/2001,Dhaka,Bangladesh,Zimbabwe
1,12/8/2001,Colombo (SSC),Sri Lanka,Zimbabwe
1,12/8/2001,Colombo (SSC),Sri Lanka,Zimbabwe
1,12/9/2001,Colombo (SSC),West Indies,Zimbabwe
1,12/9/2001,Colombo (SSC),West Indies,Zimbabwe
1,12/11/2001,Colombo (RPS),Sri Lanka,West Indies
1,12/11/2001,Colombo (RPS),Sri Lanka,West Indies
1,12/12/2001,Colombo (RPS),Sri Lanka,Zimbabwe
1,12/12/2001,Colombo (RPS),Sri Lanka,Zimbabwe
1,12/15/2001,Kandy,Sri Lanka,West Indies
1,12/15/2001,Kandy,Sri Lanka,West Indies
1,12/16/2001,Kandy,West Indies,Zimbabwe
1,12/16/2001,Kandy,West Indies,Zimbabwe
1,12/19/2001,Colombo (RPS),Sri Lanka,West Indies
1,12/19/2001,Colombo (RPS),Sri Lanka,West Indies
1,1/11/2002,Melbourne,Australia,New Zealand
1,1/11/2002,Melbourne,Australia,New Zealand
1,1/13/2002,Melbourne,Australia,South Africa
1,1/13/2002,Melbourne,Australia,South Africa
1,1/15/2002,Hobart,New Zealand,South Africa
1,1/15/2002,Hobart,New Zealand,South Africa
1,1/17/2002,Sydney,Australia,New Zealand
1,1/17/2002,Sydney,Australia,New Zealand
1,1/19/2002,Brisbane,New Zealand,South Africa
1,1/19/2002,Brisbane,New Zealand,South Africa
1,1/19/2002,Kolkata,India,England
1,1/19/2002,Kolkata,India,England
1,1/20/2002,Brisbane,Australia,South Africa
1,1/20/2002,Brisbane,Australia,South Africa
1,1/22/2002,Cuttack,India,England
1,1/22/2002,Cuttack,India,England
1,1/22/2002,Chattogram,Bangladesh,Pakistan
1,1/22/2002,Chattogram,Bangladesh,Pakistan
1,1/22/2002,Sydney,Australia,South Africa
1,1/22/2002,Sydney,Australia,South Africa
1,1/24/2002,Dhaka,Bangladesh,Pakistan
1,1/24/2002,Dhaka,Bangladesh,Pakistan
1,1/25/2002,Chennai,India,England
1,1/25/2002,Chennai,India,England
1,1/25/2002,Dhaka,Bangladesh,Pakistan
1,1/25/2002,Dhaka,Bangladesh,Pakistan
1,1/26/2002,Adelaide,Australia,New Zealand
1,1/26/2002,Adelaide,Australia,New Zealand
1,1/27/2002,Adelaide,New Zealand,South Africa
1,1/27/2002,Adelaide,New Zealand,South Africa
1,1/28/2002,Kanpur,India,England
1,1/28/2002,Kanpur,India,England
1,1/29/2002,Melbourne,Australia,New Zealand
1,1/29/2002,Melbourne,Australia,New Zealand
1,1/31/2002,Delhi,India,England
1,1/31/2002,Delhi,India,England
1,2/1/2002,Perth,New Zealand,South Africa
1,2/1/2002,Perth,New Zealand,South Africa
1,2/3/2002,Mumbai,India,England
1,2/3/2002,Mumbai,India,England
1,2/3/2002,Perth,Australia,South Africa
1,2/3/2002,Perth,Australia,South Africa
1,2/6/2002,Melbourne,New Zealand,South Africa
1,2/6/2002,Melbourne,New Zealand,South Africa
1,2/8/2002,Sydney,New Zealand,South Africa
1,2/8/2002,Sydney,New Zealand,South Africa
1,2/13/2002,Christchurch,New Zealand,England
1,2/13/2002,Christchurch,New Zealand,England
1,2/14/2002,Sharjah,Pakistan,West Indies
1,2/14/2002,Sharjah,Pakistan,West Indies
1,2/15/2002,Sharjah,Pakistan,West Indies
1,2/15/2002,Sharjah,Pakistan,West Indies
1,2/16/2002,Wellington,New Zealand,England
1,2/16/2002,Wellington,New Zealand,England
1,2/17/2002,Sharjah,Pakistan,West Indies
1,2/17/2002,Sharjah,Pakistan,West Indies
1,2/20/2002,Napier,New Zealand,England
1,2/20/2002,Napier,New Zealand,England
1,2/23/2002,Auckland,New Zealand,England
1,2/23/2002,Auckland,New Zealand,England
1,2/26/2002,Dunedin,New Zealand,England
1,2/26/2002,Dunedin,New Zealand,England
1,3/7/2002,Faridabad,India,Zimbabwe
1,3/7/2002,Faridabad,India,Zimbabwe
1,3/10/2002,Mohali,India,Zimbabwe
1,3/10/2002,Mohali,India,Zimbabwe
1,3/13/2002,Kochi,India,Zimbabwe
1,3/13/2002,Kochi,India,Zimbabwe
1,3/16/2002,Hyderabad (Deccan),India,Zimbabwe
1,3/16/2002,Hyderabad (Deccan),India,Zimbabwe
1,3/19/2002,Guwahati,India,Zimbabwe
1,3/19/2002,Guwahati,India,Zimbabwe
1,3/22/2002,Johannesburg,South Africa,Australia
1,3/22/2002,Johannesburg,South Africa,Australia
1,3/24/2002,Centurion,South Africa,Australia
1,3/24/2002,Centurion,South Africa,Australia
1,3/27/2002,Potchefstroom,South Africa,Australia
1,3/27/2002,Potchefstroom,South Africa,Australia
1,3/30/2002,Bloemfontein,South Africa,Australia
1,3/30/2002,Bloemfontein,South Africa,Australia
1,4/3/2002,Durban,South Africa,Australia
1,4/3/2002,Durban,South Africa,Australia
1,4/6/2002,Port Elizabeth,South Africa,Australia
1,4/6/2002,Port Elizabeth,South Africa,Australia
1,4/8/2002,Sharjah,Pakistan,Sri Lanka
1,4/8/2002,Sharjah,Pakistan,Sri Lanka
1,4/9/2002,Cape Town,South Africa,Australia
1,4/9/2002,Cape Town,South Africa,Australia
1,4/9/2002,Sharjah,New Zealand,Sri Lanka
1,4/9/2002,Sharjah,New Zealand,Sri Lanka
1,4/11/2002,Sharjah,New Zealand,Pakistan
1,4/11/2002,Sharjah,New Zealand,Pakistan
1,4/12/2002,Sharjah,Pakistan,Sri Lanka
1,4/12/2002,Sharjah,Pakistan,Sri Lanka
1,4/14/2002,Sharjah,New Zealand,Sri Lanka
1,4/14/2002,Sharjah,New Zealand,Sri Lanka
1,4/15/2002,Sharjah,New Zealand,Pakistan
1,4/15/2002,Sharjah,New Zealand,Pakistan
1,4/17/2002,Sharjah,Pakistan,Sri Lanka
1,4/17/2002,Sharjah,Pakistan,Sri Lanka
1,4/21/2002,Karachi,Pakistan,New Zealand
1,4/21/2002,Karachi,Pakistan,New Zealand
1,4/24/2002,Rawalpindi,Pakistan,New Zealand
1,4/24/2002,Rawalpindi,Pakistan,New Zealand
1,4/27/2002,Lahore,Pakistan,New Zealand
1,4/27/2002,Lahore,Pakistan,New Zealand
1,5/25/2002,Kingston,West Indies,India
1,5/25/2002,Kingston,West Indies,India
1,5/26/2002,Kingston,West Indies,India
1,5/26/2002,Kingston,West Indies,India
1,5/29/2002,Bridgetown,West Indies,India
1,5/29/2002,Bridgetown,West Indies,India
1,6/1/2002,Port of Spain,West Indies,India
1,6/1/2002,Port of Spain,West Indies,India
1,6/2/2002,Port of Spain,West Indies,India
1,6/2/2002,Port of Spain,West Indies,India
1,6/5/2002,Kingston,West Indies,New Zealand
1,6/5/2002,Kingston,West Indies,New Zealand
1,6/8/2002,Gros Islet,West Indies,New Zealand
1,6/8/2002,Gros Islet,West Indies,New Zealand
1,6/9/2002,Gros Islet,West Indies,New Zealand
1,6/9/2002,Gros Islet,West Indies,New Zealand
1,6/12/2002,Port of Spain,West Indies,New Zealand
1,6/12/2002,Port of Spain,West Indies,New Zealand
1,6/12/2002,Melbourne (Docklands),Australia,Pakistan
1,6/12/2002,Melbourne (Docklands),Australia,Pakistan
1,6/15/2002,Melbourne (Docklands),Australia,Pakistan
1,6/15/2002,Melbourne (Docklands),Australia,Pakistan
1,6/16/2002,Kingstown,West Indies,New Zealand
1,6/16/2002,Kingstown,West Indies,New Zealand
1,6/19/2002,Brisbane,Australia,Pakistan
1,6/19/2002,Brisbane,Australia,Pakistan
1,6/27/2002,Nottingham,England,Sri Lanka
1,6/27/2002,Nottingham,England,Sri Lanka
1,6/29/2002,Lord's,England,India
1,6/29/2002,Lord's,England,India
1,6/30/2002,The Oval,India,Sri Lanka
1,6/30/2002,The Oval,India,Sri Lanka
1,7/2/2002,Leeds,England,Sri Lanka
1,7/2/2002,Leeds,England,Sri Lanka
1,7/4/2002,Chester-le-Street,England,India
1,7/4/2002,Chester-le-Street,England,India
1,7/6/2002,Birmingham,India,Sri Lanka
1,7/6/2002,Birmingham,India,Sri Lanka
1,7/7/2002,Manchester,England,Sri Lanka
1,7/7/2002,Manchester,England,Sri Lanka
1,7/9/2002,The Oval,England,India
1,7/9/2002,The Oval,England,India
1,7/11/2002,Bristol,India,Sri Lanka
1,7/11/2002,Bristol,India,Sri Lanka
1,7/13/2002,Lord's,England,India
1,7/13/2002,Lord's,England,India
1,8/4/2002,Colombo (SSC),Sri Lanka,Bangladesh
1,8/4/2002,Colombo (SSC),Sri Lanka,Bangladesh
1,8/5/2002,Colombo (SSC),Sri Lanka,Bangladesh
1,8/5/2002,Colombo (SSC),Sri Lanka,Bangladesh
1,8/7/2002,Colombo (RPS),Sri Lanka,Bangladesh
1,8/7/2002,Colombo (RPS),Sri Lanka,Bangladesh
1,8/12/2002,Tangier,Pakistan,South Africa
1,8/12/2002,Tangier,Pakistan,South Africa
1,8/14/2002,Tangier,Pakistan,Sri Lanka
1,8/14/2002,Tangier,Pakistan,Sri Lanka
1,8/15/2002,Tangier,South Africa,Sri Lanka
1,8/15/2002,Tangier,South Africa,Sri Lanka
1,8/17/2002,Tangier,Pakistan,Sri Lanka
1,8/17/2002,Tangier,Pakistan,Sri Lanka
1,8/18/2002,Tangier,Pakistan,South Africa
1,8/18/2002,Tangier,Pakistan,South Africa
1,8/19/2002,Tangier,South Africa,Sri Lanka
1,8/19/2002,Tangier,South Africa,Sri Lanka
1,8/21/2002,Tangier,South Africa,Sri Lanka
1,8/21/2002,Tangier,South Africa,Sri Lanka
1,8/29/2002,Nairobi (Gym),Kenya,Pakistan
1,8/29/2002,Nairobi (Gym),Kenya,Pakistan
1,8/30/2002,Nairobi (Gym),Australia,Pakistan
1,8/30/2002,Nairobi (Gym),Australia,Pakistan
1,9/1/2002,Nairobi (Gym),Kenya,Pakistan
1,9/1/2002,Nairobi (Gym),Kenya,Pakistan
1,9/2/2002,Nairobi (Gym),Kenya,Australia
1,9/2/2002,Nairobi (Gym),Kenya,Australia
1,9/4/2002,Nairobi (Gym),Australia,Pakistan
1,9/4/2002,Nairobi (Gym),Australia,Pakistan
1,9/5/2002,Nairobi (Gym),Kenya,Australia
1,9/5/2002,Nairobi (Gym),Kenya,Australia
1,9/7/2002,Nairobi (Gym),Australia,Pakistan
1,9/7/2002,Nairobi (Gym),Australia,Pakistan
1,9/12/2002,Colombo (RPS),Sri Lanka,Pakistan
1,9/12/2002,Colombo (RPS),Sri Lanka,Pakistan
1,9/13/2002,Colombo (SSC),South Africa,West Indies
1,9/13/2002,Colombo (SSC),South Africa,West Indies
1,9/14/2002,Colombo (RPS),India,Zimbabwe
1,9/14/2002,Colombo (RPS),India,Zimbabwe
1,9/15/2002,Colombo (SSC),Australia,New Zealand
1,9/15/2002,Colombo (SSC),Australia,New Zealand
1,9/16/2002,Colombo (RPS),Sri Lanka,Netherlands
1,9/16/2002,Colombo (RPS),Sri Lanka,Netherlands
1,9/17/2002,Colombo (SSC),Kenya,West Indies
1,9/17/2002,Colombo (SSC),Kenya,West Indies
1,9/18/2002,Colombo (RPS),England,Zimbabwe
1,9/18/2002,Colombo (RPS),England,Zimbabwe
1,9/19/2002,Colombo (SSC),Australia,Bangladesh
1,9/19/2002,Colombo (SSC),Australia,Bangladesh
1,9/20/2002,Colombo (RPS),Kenya,South Africa
1,9/20/2002,Colombo (RPS),Kenya,South Africa
1,9/21/2002,Colombo (SSC),Netherlands,Pakistan
1,9/21/2002,Colombo (SSC),Netherlands,Pakistan
1,9/22/2002,Colombo (RPS),England,India
1,9/22/2002,Colombo (RPS),England,India
1,9/23/2002,Colombo (SSC),Bangladesh,New Zealand
1,9/23/2002,Colombo (SSC),Bangladesh,New Zealand
1,9/25/2002,Colombo (RPS),India,South Africa
1,9/25/2002,Colombo (RPS),India,South Africa
1,9/27/2002,Colombo (RPS),Sri Lanka,Australia
1,9/27/2002,Colombo (RPS),Sri Lanka,Australia
1,9/29/2002,Colombo (RPS),Sri Lanka,India
1,9/29/2002,Colombo (RPS),Sri Lanka,India
1,9/30/2002,Colombo (RPS),Sri Lanka,India
1,9/30/2002,Colombo (RPS),Sri Lanka,India
1,10/3/2002,Potchefstroom,South Africa,Bangladesh
1,10/3/2002,Potchefstroom,South Africa,Bangladesh
1,10/6/2002,Benoni,South Africa,Bangladesh
1,10/6/2002,Benoni,South Africa,Bangladesh
1,10/9/2002,Kimberley,South Africa,Bangladesh
1,10/9/2002,Kimberley,South Africa,Bangladesh
1,11/6/2002,Jamshedpur,India,West Indies
1,11/6/2002,Jamshedpur,India,West Indies
1,11/9/2002,Nagpur,India,West Indies
1,11/9/2002,Nagpur,India,West Indies
1,11/12/2002,Rajkot,India,West Indies
1,11/12/2002,Rajkot,India,West Indies
1,11/15/2002,Ahmedabad,India,West Indies
1,11/15/2002,Ahmedabad,India,West Indies
1,11/18/2002,Vadodara,India,West Indies
1,11/18/2002,Vadodara,India,West Indies
1,11/21/2002,Jodhpur,India,West Indies
1,11/21/2002,Jodhpur,India,West Indies
1,11/23/2002,Bulawayo,Zimbabwe,Pakistan
1,11/23/2002,Bulawayo,Zimbabwe,Pakistan
1,11/24/2002,Bulawayo,Zimbabwe,Pakistan
1,11/24/2002,Bulawayo,Zimbabwe,Pakistan
1,11/24/2002,Vijayawada,India,West Indies
1,11/24/2002,Vijayawada,India,West Indies
1,11/27/2002,Harare,Zimbabwe,Pakistan
1,11/27/2002,Harare,Zimbabwe,Pakistan
1,11/27/2002,Johannesburg,South Africa,Sri Lanka
1,11/27/2002,Johannesburg,South Africa,Sri Lanka
1,11/29/2002,Centurion,South Africa,Sri Lanka
1,11/29/2002,Centurion,South Africa,Sri Lanka
1,11/29/2002,Chattogram,Bangladesh,West Indies
1,11/29/2002,Chattogram,Bangladesh,West Indies
1,11/30/2002,Harare,Zimbabwe,Pakistan
1,11/30/2002,Harare,Zimbabwe,Pakistan
1,12/1/2002,Harare,Zimbabwe,Pakistan
1,12/1/2002,Harare,Zimbabwe,Pakistan
1,12/1/2002,Benoni,South Africa,Sri Lanka
1,12/1/2002,Benoni,South Africa,Sri Lanka
1,12/2/2002,Dhaka,Bangladesh,West Indies
1,12/2/2002,Dhaka,Bangladesh,West Indies
1,12/3/2002,Dhaka,Bangladesh,West Indies
1,12/3/2002,Dhaka,Bangladesh,West Indies
1,12/4/2002,Kimberley,South Africa,Sri Lanka
1,12/4/2002,Kimberley,South Africa,Sri Lanka
1,12/6/2002,Bloemfontein,South Africa,Sri Lanka
1,12/6/2002,Bloemfontein,South Africa,Sri Lanka
1,12/8/2002,Harare,Zimbabwe,Kenya
1,12/8/2002,Harare,Zimbabwe,Kenya
1,12/8/2002,Durban,South Africa,Pakistan
1,12/8/2002,Durban,South Africa,Pakistan
1,12/11/2002,Kwekwe,Zimbabwe,Kenya
1,12/11/2002,Kwekwe,Zimbabwe,Kenya
1,12/11/2002,Port Elizabeth,South Africa,Pakistan
1,12/11/2002,Port Elizabeth,South Africa,Pakistan
1,12/13/2002,East London,South Africa,Pakistan
1,12/13/2002,East London,South Africa,Pakistan
1,12/13/2002,Sydney,Australia,England
1,12/13/2002,Sydney,Australia,England
1,12/15/2002,Bulawayo,Zimbabwe,Kenya
1,12/15/2002,Bulawayo,Zimbabwe,Kenya
1,12/15/2002,Melbourne,Australia,England
1,12/15/2002,Melbourne,Australia,England
1,12/16/2002,Paarl,South Africa,Pakistan
1,12/16/2002,Paarl,South Africa,Pakistan
1,12/17/2002,Brisbane,England,Sri Lanka
1,12/17/2002,Brisbane,England,Sri Lanka
1,12/18/2002,Cape Town,South Africa,Pakistan
1,12/18/2002,Cape Town,South Africa,Pakistan
1,12/20/2002,Perth,England,Sri Lanka
1,12/20/2002,Perth,England,Sri Lanka
1,12/22/2002,Perth,Australia,Sri Lanka
1,12/22/2002,Perth,Australia,Sri Lanka
1,12/26/2002,Auckland,New Zealand,India
1,12/26/2002,Auckland,New Zealand,India
1,12/29/2002,Napier,New Zealand,India
1,12/29/2002,Napier,New Zealand,India
1,1/1/2003,Christchurch,New Zealand,India
1,1/1/2003,Christchurch,New Zealand,India
1,1/4/2003,Queenstown,New Zealand,India
